Subbasin,Year,Months,Area,BMP_0,BMP_1,BMP_2,BMP_3,BMP_4,BMP_5,BMP_6,BMP_7,BMP_8,BMP_9,BMP_10,BMP_11,BMP_12,BMP_13,BMP_14,BMP_15,BMP_16,BMP_17,BMP_18,BMP_19,BMP_20,BMP_21,BMP_22,BMP_23,BMP_24,BMP_25,BMP_26,BMP_27,BMP_28,BMP_29,BMP_30,BMP_31,BMP_32,BMP_33,BMP_34,BMP_35,BMP_36,BMP_37,BMP_38,BMP_39,BMP_40,BMP_41,BMP_42,BMP_43,BMP_44,BMP_45,BMP_46,BMP_47,BMP_48,BMP_49,BMP_50,BMP_51,BMP_52,BMP_53,BMP_54,BMP_55,BMP56,BMP57,BMP58,BMP59,BMP60,BMP61
26,2003,1,15291.53204,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001
27,2003,1,9188.727004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2003,1,7252.765203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2003,1,6862.579029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2003,1,7913.705765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2003,1,1022.118244,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
32,2003,1,3680.672096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2003,1,16171.59151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2003,1,12564.10839,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001
35,2003,1,17982.72044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2003,1,14641.88385,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001
37,2003,1,6227.688638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2003,1,5046.446297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2003,1,12235.42156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2003,1,4231.520694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2003,1,8730.921953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2003,1,9150.463174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2003,1,6982.856064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2003,1,6020.301584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2003,1,9546.980178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2003,2,8572.524772,0.031,0.031,0.02,0.02,0.026,0.017,0.017,0.023,0.016,0.016,0.02,0.013,0.013,0.016,0.01,0.01,0.014,0.009,0.009,0.031,0.02,0.02,0.026,0.017,0.017,0.023,0.016,0.016,0.02,0.013,0.013,0.016,0.01,0.01,0.014,0.009,0.009,0.031,0.02,0.02,0.026,0.017,0.017,0.023,0.016,0.016,0.02,0.013,0.013,0.016,0.01,0.01,0.014,0.009,0.009,0,0.031,0.031,0.031,0.031,0.031,0.031
2,2003,2,8158.536751,0.007,0.007,0.004,0.004,0.005,0.002,0.002,0.003,0.002,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.007,0.004,0.004,0.005,0.002,0.002,0.003,0.002,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.007,0.004,0.004,0.005,0.002,0.002,0.003,0.001,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0.007,0.007,0.007,0.007,0.007,0.007
3,2003,2,15331.04682,0.006,0.006,0.004,0.004,0.004,0.002,0.002,0.002,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.006,0.004,0.004,0.004,0.002,0.002,0.002,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.006,0.004,0.004,0.004,0.002,0.002,0.002,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0.006,0.006,0.006,0.006,0.006,0.006
4,2003,2,8968.593807,0.018,0.018,0.012,0.011,0.013,0.009,0.009,0.011,0.007,0.007,0.011,0.007,0.007,0.008,0.005,0.005,0.006,0.004,0.004,0.018,0.012,0.011,0.013,0.009,0.009,0.011,0.007,0.007,0.011,0.007,0.007,0.007,0.005,0.005,0.006,0.004,0.004,0.018,0.012,0.011,0.013,0.009,0.009,0.011,0.007,0.007,0.011,0.007,0.007,0.008,0.005,0.005,0.006,0.004,0.004,0,0.018,0.018,0.018,0.018,0.018,0.018
5,2003,2,11720.36025,0.007,0.006,0.004,0.004,0.004,0.003,0.004,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.006,0.004,0.004,0.004,0.004,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.006,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0.006,0.006,0.006,0.006,0.006,0.006
6,2003,2,6085.883429,0.02,0.02,0.011,0.011,0.016,0.01,0.009,0.014,0.009,0.008,0.01,0.006,0.005,0.008,0.005,0.004,0.006,0.004,0.004,0.02,0.011,0.011,0.016,0.01,0.009,0.014,0.009,0.008,0.01,0.006,0.005,0.008,0.005,0.004,0.006,0.004,0.004,0.02,0.011,0.011,0.016,0.01,0.009,0.014,0.009,0.008,0.01,0.006,0.005,0.008,0.005,0.004,0.006,0.004,0.004,0,0.02,0.02,0.02,0.02,0.02,0.02
7,2003,2,1738.092101,0.006,0.006,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.006,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.006,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0,0.006,0.006,0.006,0.006,0.006,0.006
8,2003,2,908.9749891,0.011,0.011,0.006,0.006,0.006,0.003,0.003,0.004,0.002,0.002,0,0,0,0,0,0,0,0,0,0.011,0.006,0.006,0.006,0.003,0.003,0.004,0.002,0.002,0,0,0,0,0,0,0,0,0,0.009,0.005,0.005,0.005,0.003,0.003,0.003,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0.011,0.011,0.011,0.011
9,2003,2,6735.624618,0.006,0.006,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.006,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.006,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0.006,0.006,0.006,0.006,0.006,0.006
10,2003,2,4302.512045,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003
