Date,Nitrate_loading (kg/d),TP_loading (kg/d)
11/2/2003,1381.43518,557.18093
11/3/2003,1142.96912,546.04388
11/4/2003,1234.12353,728.68045
11/5/2003,931.07175,508.24315
11/6/2003,913.23168,457.65834
11/7/2003,929.07463,454.08094
11/8/2003,955.42537,455.81182
11/9/2003,999.44212,465.98902
11/10/2003,1071.59758,488.6717
11/11/2003,1247.37486,556.76113
11/12/2003,1143.25439,473.791
11/13/2003,745.32754,431.61623
11/14/2003,674.94981,409.60445
11/15/2003,622.2033,400.55505
11/16/2003,506.59052,331.88582
11/17/2003,760.48766,511.10328
11/18/2003,820.40812,574.28569
11/19/2003,587.9302,296.94952
11/20/2003,718.25656,289.7985
11/21/2003,658.7662,359.84107
11/22/2003,680.6258,471.01667
11/23/2003,1032.00853,633.43688
11/24/2003,809.88241,432.3506
11/25/2003,676.72948,305.97545
11/26/2003,704.1014,312.78086
11/27/2003,696.39052,302.45729
11/28/2003,735.87563,323.486
11/29/2003,771.29811,342.79916
11/30/2003,806.64942,356.33326
12/1/2003,813.16581,357.17892
12/2/2003,831.40853,363.26157
12/3/2003,832.94199,357.06542
12/4/2003,882.24734,371.125
12/5/2003,1036.35706,408.23376
12/6/2003,923.18382,339.12315
12/7/2003,903.22161,364.18067
12/8/2003,883.1095,387.53476
12/9/2003,858.73502,407.23516
12/10/2003,926.38162,453.04317
12/11/2003,915.22129,460.09766
12/12/2003,905.40951,447.20834
12/13/2003,850.8996,412.57184
12/14/2003,903.4847,466.92048
12/15/2003,985.36463,541.72245
12/16/2003,855.10898,499.23274
12/17/2003,785.56816,500.85328
12/18/2003,792.74775,553.47729
12/19/2003,634.97982,488.77214
12/20/2003,544.58498,471.95735
12/21/2003,493.33848,425.69396
12/22/2003,613.46423,525.78588
12/23/2003,501.66865,424.85814
12/24/2003,1068.25784,294.96672
12/25/2003,985.85515,293.47565
12/26/2003,915.191,349.76848
12/27/2003,850.11224,401.87124
12/28/2003,1112.68972,508.65816
12/29/2003,984.40218,433.48749
12/30/2003,860.16629,363.18132
12/31/2003,923.48938,367.52697
1/1/2004,658.61592,269.33344
1/2/2004,688.56986,311.97835
1/3/2004,647.27634,321.49487
1/4/2004,696.98105,275.27502
1/5/2004,668.55716,196.84889
1/6/2004,725.18046,141.49863
1/7/2004,629.56952,153.33655
1/8/2004,627.0138,184.47855
1/9/2004,624.63217,200.35172
1/10/2004,644.66986,223.72303
1/11/2004,720.85759,264.70123
1/12/2004,669.57786,259.2491
1/13/2004,655.38772,266.72756
1/14/2004,625.54203,266.43457
1/15/2004,639.74337,284.9369
1/16/2004,624.24106,290.58378
1/17/2004,618.15185,300.58124
1/18/2004,599.04325,303.9558
1/19/2004,587.30258,310.83263
1/20/2004,584.2099,322.39731
1/21/2004,558.07467,331.38955
1/22/2004,554.92672,353.42291
1/23/2004,575.37422,357.62793
1/24/2004,631.69468,383.59301
1/25/2004,617.75961,356.76732
1/26/2004,682.50988,375.13035
1/27/2004,702.24769,367.57391
1/28/2004,698.74429,385.57353
1/29/2004,662.1477,384.86642
1/30/2004,641.98608,395.86569
1/31/2004,786.96917,514.56744
2/1/2004,686.11616,448.6367
2/2/2004,639.8499,418.39695
2/3/2004,649.36437,424.63215
2/4/2004,652.35788,391.07904
2/5/2004,762.57804,423.39092
2/6/2004,807.03987,404.45781
2/7/2004,820.54258,372.36397
2/8/2004,913.19352,418.78142
2/9/2004,949.85696,439.64193
2/10/2004,955.38827,445.84786
2/11/2004,896.9211,489.8824
2/12/2004,877.95166,560.07261
2/13/2004,882.25529,531.20375
2/14/2004,1649.93121,939.63264
2/15/2004,1317.47092,667.20223
2/16/2004,1099.00552,492.98757
2/17/2004,1140.21887,450.75602
2/18/2004,1282.9945,456.92284
2/19/2004,1622.09361,524.28383
2/20/2004,1477.63313,499.06997
2/21/2004,1318.57595,466.31936
2/22/2004,1240.60908,462.97078
2/23/2004,1070.84979,422.70386
2/24/2004,1069.75119,447.85943
2/25/2004,1251.30892,435.15938
2/26/2004,1364.5646,403.68369
2/27/2004,1356.33451,435.66662
2/28/2004,1215.13205,426.93179
2/29/2004,1107.958765,434.35889
3/1/2004,1000.78548,441.78599
3/2/2004,850.84509,428.93843
3/3/2004,870.90246,411.84617
3/4/2004,864.66487,379.88974
3/5/2004,892.08819,305.26644
3/6/2004,1018.18505,272.56315
3/7/2004,1116.0441,312.53165
3/8/2004,1318.19393,382.3312
